,longitude,latitude,price_sqm,living_area_sqm,price,cluster
92,25.127563041904803,60.59302835,"[3738, 4288]","[37.0, 56.0]","[138306.0, 240128.0]",1
93,25.127627736453,60.5920034,"[5293, 4643]","[60.0, 60.0]","[317580.0, 278580.0]",2
94,25.127844485512906,60.593397100000004,"[4507, 4452]","[55.0, 55.0]","[247885.0, 244860.0]",1
95,25.1280375057635,60.59233335,"[3252, 4773]","[87.0, 27.0]","[282924.0, 128871.0]",1
96,25.12839545,60.5942196,[5914],[35.0],[206990.0],1
97,25.128497272972197,60.5937603,[5943],[32.5],[193147.5],1
98,25.1287303400312,60.5941857,"[4092, 4870, 5438]","[49.5, 44.0, 30.5]","[202554.0, 214280.0, 165859.0]",1
99,25.1291615580372,60.59336945,"[4172, 5393]","[87.5, 40.0]","[365050.0, 215720.0]",2
100,25.1292803,60.59375245,[3954],[53.0],[209562.0],1
101,25.130657112734102,60.59232865,[3849],[68.0],[261732.0],4
102,25.1307001373409,60.58800720000001,"[4548, 5976, 5095, 4363]","[74.0, 30.0, 62.0, 41.0]","[336552.0, 179280.0, 315890.0, 178883.0]",4
103,25.1307391078689,60.58850940000001,"[2816, 3253, 4842]","[73.5, 73.0, 46.5]","[206976.0, 237469.0, 225153.0]",1
104,25.130759299999998,60.5890186,"[4465, 4643, 4143, 5143]","[29.5, 78.0, 58.0, 29.5]","[131717.5, 362154.0, 240294.0, 151718.5]",1
105,25.13078885,60.58364505,[5110],[30.0],[153300.0],0
106,25.1311069,60.5869534,[4500],[70.0],[315000.0],5
107,25.13111465,60.5915995,[4471],[68.5],[306263.5],0
108,25.1313194525486,60.58679155,"[3553, 3962]","[83.0, 83.0]","[294899.0, 328846.0]",5
109,25.1313685587846,60.58544095,"[5143, 4276, 4575, 4055]","[50.5, 113.0, 81.0, 113.0]","[259721.5, 483188.0, 370575.0, 458215.0]",7
110,25.131369897956606,60.586389000000004,"[3598, 4408, 4015]","[101.0, 58.5, 58.5]","[363398.0, 257868.0, 234877.5]",2
111,25.131483399999997,60.5810205,[5168],[122.0],[630496.0],0
112,25.1315064804396,60.5923765,[4777],[71.0],[339167.0],9
113,25.131557535954105,60.58500515,[3234],[55.0],[177870.0],11
114,25.1315879094221,60.59051435,"[3954, 3798]","[55.5, 60.8]","[219447.0, 230918.4]",1
115,25.131610018434802,60.5859566,"[4275, 4259, 4396, 4113]","[76.0, 47.5, 49.5, 49.5]","[324900.0, 202302.5, 217602.0, 203593.5]",1
116,25.13165143450989,60.5884448,"[4768, 4560]","[48.0, 48.0]","[228864.0, 218880.0]",1
117,25.1317890672784,60.58448320000001,"[4721, 5610]","[54.5, 152.0]","[257294.5, 852720.0]",0
118,25.1319207687574,60.59336385,"[5299, 5087, 6040, 6926, 4143]","[45.0, 45.0, 29.0, 23.0, 44.0]","[238455.0, 228915.0, 175160.0, 159298.0, 182292.0]",1
119,25.1319522,60.59367809999999,"[4997, 5314, 5935, 4802, 4232, 4980, 4748, 4471]","[82.0, 41.0, 26.5, 52.0, 52.0, 43.0, 43.0, 68.5]","[409754.0, 217874.0, 157277.5, 249704.0, 220064.0, 214140.0, 204164.0, 306263.5]",1
120,25.132051880247502,60.59547025,[5328],[27.0],[143856.0],8
121,25.132060414891,60.5838486,"[3014, 4168, 3343, 4498, 3419, 3242, 3474, 4614]","[108.5, 60.5, 60.5, 77.5, 76.0, 60.5, 60.5, 60.5]","[327019.0, 252164.0, 202251.5, 348595.0, 259844.0, 196141.0, 210177.0, 279147.0]",4
122,25.1320713905892,60.594052100000006,"[3865, 3831, 5201]","[79.0, 107.5, 52.0]","[305335.0, 411832.5, 270452.0]",0
123,25.132077360879503,60.5819108,"[4528, 4490]","[65.0, 101.0]","[294320.0, 453490.0]",0
124,25.132084909099998,60.57968760000001,[5768],[40.0],[230720.0],1
125,25.132099719447694,60.58888105,"[3982, 3723, 2714, 3654]","[56.0, 56.0, 56.0, 46.0]","[222992.0, 208488.0, 151984.0, 168084.0]",1
126,25.1321917737393,60.59237115,"[5243, 5084]","[50.0, 101.0]","[262150.0, 513484.0]",0
127,25.132215110223605,60.5815088,[5810],[30.0],[174300.0],0
128,25.132352872998098,60.58324585,"[4398, 4143, 4857]","[53.0, 55.0, 35.0]","[233094.0, 227865.0, 169995.0]",1
129,25.1323979880118,60.5866414,"[4065, 4490]","[64.0, 72.0]","[260160.0, 323280.0]",2
130,25.132437895774608,60.58840505,"[4940, 5643, 5643]","[39.5, 28.0, 26.0]","[195130.0, 158004.0, 146718.0]",1
131,25.132506170139298,60.5861228,"[6827, 6355]","[47.5, 73.0]","[324282.5, 463915.0]",7
132,25.132746064840397,60.5888206,"[4351, 4723]","[48.0, 50.0]","[208848.0, 236150.0]",1
133,25.132759273080698,60.58926485,"[5069, 3841, 3643]","[27.0, 53.0, 56.0]","[136863.0, 203573.0, 204008.0]",1
134,25.132837936028103,60.5923289,"[4707, 4619]","[68.3, 42.0]","[321488.1, 193998.0]",4
135,25.132858250255605,60.5819766,"[4000, 3250, 3738, 3231, 3658, 5605, 3643, 3735, 4390, 3125, 4773]","[52.5, 56.0, 111.0, 57.0, 48.5, 32.5, 56.0, 98.0, 97.5, 56.5, 77.0]","[210000.0, 182000.0, 414918.0, 184167.0, 177413.0, 182162.5, 204008.0, 366030.0, 428025.0, 176562.5, 367521.0]",4
136,25.132883600000003,60.59489839999999,"[3743, 4123]","[50.0, 50.0]","[187150.0, 206150.0]",1
137,25.13319085,60.59077070000001,"[4359, 4510, 4095]","[51.0, 30.0, 52.5]","[222309.0, 135300.0, 214987.5]",1
138,25.133274921619897,60.59031945,"[4404, 7197, 4230]","[55.5, 18.5, 74.3]","[244422.0, 133144.5, 314289.0]",1
139,25.133325610232802,60.58827635,"[4958, 7317]","[54.0, 23.0]","[267732.0, 168291.0]",1
140,25.133339455528002,60.58123185,"[4591, 5131, 5078, 5181, 5577, 5549, 4717]","[67.0, 83.5, 123.0, 80.0, 83.0, 66.5, 61.0]","[307597.0, 428438.5, 624594.0, 414480.0, 462891.0, 369008.5, 287737.0]",0
141,25.133431700299106,60.59583670000001,"[3213, 4259]","[86.0, 47.5]","[276318.0, 202302.5]",1
142,25.1335808,60.59237725,"[4937, 5169]","[63.0, 39.0]","[311031.0, 201591.0]",4
143,25.133704695033803,60.5892468,"[5307, 6322, 3794, 5981, 7092, 7248, 8090, 4197, 8486]","[36.5, 19.5, 86.0, 18.5, 19.5, 19.0, 19.0, 37.0, 18.5]","[193705.5, 123279.0, 326284.0, 110648.5, 138294.0, 137712.0, 153710.0, 155289.0, 156991.0]",1
144,25.134048332204898,60.5932922,[5584],[34.0],[189856.0],1
145,25.134063205974396,60.59196949999999,"[5310, 5976]","[36.0, 36.0]","[191160.0, 215136.0]",1
146,25.1341135726254,60.587037,"[5581, 5801]","[80.0, 73.0]","[446480.0, 423473.0]",0
147,25.1341351,60.58832195,[5810],[42.0],[244020.0],1
148,25.134166239446607,60.5903213,"[5129, 4618, 4893]","[74.0, 40.0, 40.0]","[379546.0, 184720.0, 195720.0]",4
149,25.134231593944698,60.59229345,"[5441, 3859]","[23.5, 54.5]","[127863.5, 210315.5]",1
150,25.1344140502763,60.5887973,"[4553, 6087]","[78.0, 36.0]","[355134.0, 219132.0]",2
151,25.134528469517107,60.582154,"[3629, 3930, 3331, 3241, 4184, 3159, 2832, 2881, 3787, 3907]","[73.0, 61.0, 95.5, 61.0, 73.0, 61.0, 61.0, 61.0, 73.0, 95.5]","[264917.0, 239730.0, 318110.5, 197701.0, 305432.0, 192699.0, 172752.0, 175741.0, 276451.0, 373118.5]",4
152,25.1346095153997,60.59125575,"[5093, 4946, 4575]","[40.0, 61.0, 37.0]","[203720.0, 301706.0, 169275.0]",1
153,25.134725442443102,60.5936071,[6096],[36.1],[220065.6],1
154,25.134874292552706,60.59396595,[5025],[45.9],[230647.5],1
155,25.134884318075198,60.5961931,"[4454, 3758]","[45.0, 52.0]","[200430.0, 195416.0]",1
156,25.1348857305753,60.59307710000001,[5695],[29.0],[165155.0],1
157,25.1348968412883,60.5979355,[4395],[119.0],[523005.0],0
158,25.1351547182082,60.5816165,"[5039, 4094, 4110, 3979, 4061, 3836, 2975, 3941]","[38.5, 61.0, 61.0, 73.0, 73.0, 50.5, 95.5, 95.5]","[194001.5, 249734.0, 250710.0, 290467.0, 296453.0, 193718.0, 284112.5, 376365.5]",4
159,25.135215846202197,60.5869507,"[6191, 4906, 5526, 5675, 6297, 6262, 6043, 6216]","[52.5, 59.0, 70.5, 101.5, 61.5, 59.0, 75.5, 61.5]","[325027.5, 289454.0, 389583.0, 576012.5, 387265.5, 369458.0, 456246.5, 382284.0]",7
160,25.1353742,60.58930285,"[4881, 3897, 4143]","[61.0, 61.0, 61.0]","[297741.0, 237717.0, 252723.0]",4
161,25.135378453885302,60.5808656,"[3489, 3903, 3612, 3501, 4231]","[89.5, 89.5, 89.5, 89.5, 73.5]","[312265.5, 349318.5, 323274.0, 313339.5, 310978.5]",5
162,25.1353924397138,60.59130749999999,"[5285, 4696, 5356]","[69.2, 51.5, 33.8]","[365722.0, 241844.0, 181032.8]",4
163,25.1354158044948,60.5932255,[4183],[62.5],[261437.5],4
164,25.1354643357829,60.59373295,"[5254, 5369, 4709, 4989]","[36.0, 53.0, 53.0, 39.0]","[189144.0, 284557.0, 249577.0, 194571.0]",1
165,25.135569384619398,60.5901519,[4783],[86.0],[411338.0],10
166,25.1355776957692,60.59269565,[3905],[115.5],[451027.5],0
167,25.135641373342,60.5963094,[3822],[78.0],[298116.0],2
168,25.1358877,60.591702000000005,[5333],[69.3],[369576.89999999997],6
169,25.135914047712895,60.58052335,"[4372, 5015]","[54.5, 54.5]","[238274.0, 273317.5]",4
170,25.135939606332503,60.5915512,[5000],[70.0],[350000.0],6
171,25.1359846182582,60.58889305,[4160],[28.7],[119392.0],0
